Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Comptes de concours financiers;Avances aux collectivités territoriales;832;Avances aux collectivités et établissements publics, et à la Nouvelle-Calédonie;2;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2237-2 du code général des collectivités territoriales;;;;;21;Économie et finances
PLF 2019;Comptes de concours financiers;Avances aux collectivités territoriales;832;Avances aux collectivités et établissements publics, et à la Nouvelle-Calédonie;3;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires);;;;;21;Économie et finances
PLF 2019;Comptes de concours financiers;Avances aux collectivités territoriales;832;Avances aux collectivités et établissements publics, et à la Nouvelle-Calédonie;4;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel;;;;;21;Économie et finances
PLF 2019;Comptes de concours financiers;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;1;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;;102 727 800 351;102 727 800 351;7;Action et comptes publics
PLF 2019;Comptes de concours financiers;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;2;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers;;;5 902 690 811;5 902 690 811;7;Action et comptes publics
PLF 2019;Comptes de concours financiers;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;3;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;;;970 009 914;970 009 914;7;Action et comptes publics
PLF 2019;Comptes de concours financiers;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;4;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur les;;;1 004 409 371;1 004 409 371;7;Action et comptes publics
PLF 2019;Comptes de concours financiers;Prêts à des États étrangers;851;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;1;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;;1 000 000 000;480 950 000;21;Économie et finances
PLF 2019;Comptes de concours financiers;Prêts à des États étrangers;852;Prêts à des États étrangers pour consolidation de dettes envers la France;1;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;;;245 350 000;245 350 000;21;Économie et finances
PLF 2019;Comptes de concours financiers;Prêts à des États étrangers;853;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;1;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;;0;388 000 000;21;Économie et finances
PLF 2019;Comptes de concours financiers;Prêts à des États étrangers;854;Prêts aux États membres de l'Union européenne dont la monnaie est l'euro;1;Soutien financier aux États membres de lUnion européenne dont la monnaie est leuro;;;0;0;21;Économie et finances
PLF 2019;Comptes de concours financiers;Prêts et avances à des particuliers ou à des organismes privés;861;Prêts et avances pour le logement des agents de l'État;4;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;;;50 000;50 000;21;Économie et finances
PLF 2019;Comptes de concours financiers;Prêts et avances à des particuliers ou à des organismes privés;862;Prêts pour le développement économique et social;1;Prêts pour le développement économique et social;;;50 000 000;50 000 000;21;Économie et finances
PLF 2019;Comptes de concours financiers;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;0;0;21;Économie et finances
PLF 2019;Comptes de concours financiers;Prêts et avances à des particuliers ou à des organismes privés;869;Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;1;Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;;;0;275 000 000;23;Transition écologique et solidaire
