ANNEE,ID_TMS,"Type de mission",COD_MSN,Mission,COD_PGM,Programme,"code action",action,"code sous-action","sous action"
2014,1,"Budget général",AA,"Action extérieure de l'État",151,"Français à l'étranger et affaires consulaires",03,"Instruction des demandes de visa",01,"Fourniture des services administratifs"
2014,1,"Budget général",AA,"Action extérieure de l'État",151,"Français à l'étranger et affaires consulaires",03,"Instruction des demandes de visa",02,"Personnel concourant à l'action ""instruction des demandes de visa"""
2014,1,"Budget général",AA,"Action extérieure de l'État",151,"Français à l'étranger et affaires consulaires",03,"Instruction des demandes de visa",03,"Introduction de la biométrie, aménagement des services et lutte contre la fraude"
2014,1,"Budget général",AA,"Action extérieure de l'État",151,"Français à l'étranger et affaires consulaires",99,"Dépenses de personnel à reventiler entre les actions du programme",,
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",01,"Animation du réseau",02,"Animation du réseau"
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",01,"Animation du réseau",03,"Appui général au réseau"
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",02,"Coopération culturelle et promotion du français",01,"Français et diversité linguistique"
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",02,"Coopération culturelle et promotion du français",05,"Coopération et diffusion culturelles"
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",03,"Enjeux globaux",,
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",04,"Attractivité et recherche",01,"Attractivité et enseignement supérieur"
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",04,"Attractivité et recherche",02,"Recherche scientifique"
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",05,"Agence pour l'enseignement français à l'étranger",,
2014,1,"Budget général",AA,"Action extérieure de l'État",185,"Diplomatie culturelle et d'influence",06,"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""",,
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",01,"Cabinets des ministres et bureaux des cabinets des ministres"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",02,"Cabinet du secrétariat général et des services rattachés"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",03,"Délégation à l'information et à la communication"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",04,"Mission aux archives nationales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",05,"Inspection générale de l'administration"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",06,"Centre des hautes études du minitère de l'intérieur"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",07,"Conseil national des activités privées de sécurité (CNAPS)"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",08,"Autres études et recherches"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",09,"Direction des systèmes d'information et de communication : personnel"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",10,"Services zonaux des systèmes d'information et de communication : soutien"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",11,"Gestion des ressources humaines"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",12,"Direction générale des collectivités locales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",13,"Pôle interministériel d'appui et de contrôle de la légalité"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",14,"Comité des finances locales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",15,"Fonctionnement général des services"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",16,Cultes
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",17,"Délégation générale à l'outre-mer"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",01,"État-major et services centraux",18,"Sécurité et éducation routières"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",03,"Système d'information et de communication",05,"Maintien en condition opérationnelle des systèmes d'information et de communication (SIC)"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",03,"Système d'information et de communication",08,"Système d'information et de communication : grands projets"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",04,"Action sociale et formation",01,"Action sociale : offre de services collectifs"
