Gestion;2015;;;;;;;;
Type Budget;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Agriculture, alimentation, forêt et affaires rurales;206;8;Qualité de l'alimentation et offre alimentaire;0;;4 156 000;3 865 430;4 156 000;3 865 430
Agriculture, alimentation, forêt et affaires rurales;215;1;Moyens de l'administration centrale;0;;204 822 727;204 159 049;211 263 127;209 785 385
Agriculture, alimentation, forêt et affaires rurales;215;2;Évaluation de l'impact des politiques publiques et information économique;0;;18 583 211;18 540 433;18 583 211;18 540 433
Agriculture, alimentation, forêt et affaires rurales;215;3;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);0;;430 410 461;421 896 287;430 410 461;421 896 287
Agriculture, alimentation, forêt et affaires rurales;215;4;Moyens communs;0;;67 113 951;71 767 360;71 273 551;73 947 438
Aide publique au développement;110;1;Aide économique et financière multilatérale;0;;1 581 174 272;286 704 541;635 866 049;635 398 901
Aide publique au développement;110;2;Aide économique et financière bilatérale;0;;395 606 400;432 760 000;312 749 289;316 254 171
Aide publique au développement;110;3;Traitement de la dette des pays pauvres;0;;383 340 083;0;161 274 852;107 346 928
Aide publique au développement;209;2;Coopération bilatérale;0;;592 471 400;584 259 663;564 158 056;557 084 323
Aide publique au développement;209;5;Coopération multilatérale;0;;323 832 026;288 421 560;329 333 913;293 923 447
Aide publique au développement;209;7;Coopération communautaire;0;;680 860 000;703 800 000;680 860 000;703 800 000
Aide publique au développement;209;8;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";0;;206 163 873;201 792 732;206 163 873;201 792 732
Aide publique au développement;209;9;Actions de co-développement;0;;16 000;0;8 516 000;0
Anciens combattants, mémoire et liens avec la nation;158;1;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;0;;51 326 890;45 746 919;50 726 890;46 051 419
Anciens combattants, mémoire et liens avec la nation;158;2;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;0;;53 289 107;54 504 130;53 289 107;54 504 130
Anciens combattants, mémoire et liens avec la nation;167;1;Journée défense et citoyenneté;0;;89 891 695;29 776 000;93 891 695;19 050 000
Anciens combattants, mémoire et liens avec la nation;167;2;Politique de mémoire;0;;23 540 226;22 700 000;23 540 226;22 700 000
Anciens combattants, mémoire et liens avec la nation;169;1;Administration de  la dette viagère;0;;2 230 384 700;2 080 250 000;2 230 384 700;2 080 250 000
Anciens combattants, mémoire et liens avec la nation;169;1;Administration de  la dette viagère;10;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;1 422 444 700;1 295 550 000;1 422 444 700;1 295 550 000
Anciens combattants, mémoire et liens avec la nation;169;1;Administration de  la dette viagère;11;Retraite du combattant;807 940 000;784 700 000;807 940 000;784 700 000
Anciens combattants, mémoire et liens avec la nation;169;2;Gestion  des droits liés aux pensions militaires d'invalidité;0;Retraite du combattant;151 738 953;146 374 830;151 738 953;146 374 830
Anciens combattants, mémoire et liens avec la nation;169;2;Gestion  des droits liés aux pensions militaires d'invalidité;21;Soins médicaux gratuits et appareillage des mutilés;51 838 953;48 300 000;51 838 953;48 300 000
Anciens combattants, mémoire et liens avec la nation;169;2;Gestion  des droits liés aux pensions militaires d'invalidité;22;Remboursement des réductions de transport accordées aux invalides;3 400 000;3 474 830;3 400 000;3 474 830
Anciens combattants, mémoire et liens avec la nation;169;2;Gestion  des droits liés aux pensions militaires d'invalidité;23;Remboursement des prestations de sécurité sociale aux invalides;96 500 000;94 600 000;96 500 000;94 600 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;0;Remboursement des prestations de sécurité sociale aux invalides;347 341 637;351 862 725;347 341 637;351 862 725
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;30;Fonds de solidarité pour les anciens combattants d'Afrique du Nord et d'Indochine;0;0;0;0
