Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;Budget général;;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2015;AEPLF;AEAMT;AELF; CPLF 2015; CPPLF;CPAMT;CPLF;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;12;Développement économique de la filière et gestion durable;0;;49 887 594;65 108 394;0;65 108 394;52 092 549;67 506 969;0;67 506 969;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;149;13;Fonds stratégique de la forêt et du bois;0;;10 667 234;10 588 826;0;10 588 826;17 823 190;17 744 782;0;17 744 782;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;11;Adaptation des filières à l'évolution des marchés;0;;176 600 630;169 155 334;0;169 155 334;178 847 874;169 614 956;0;169 614 956;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;12;Gestion des crises et des aléas de la production;0;;27 448 166;3 418 666;0;3 418 666;27 448 166;3 958 666;0;3 958 666;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;13;Appui au renouvellement et à la modernisation des exploitations agricoles;0;;140 576 000;169 250 000;0;169 250 000;168 118 300;94 730 000;0;94 730 000;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;14;Gestion équilibrée et durable des territoires;0;;983 942 524;782 547 326;0;782 547 326;755 377 524;769 007 326;0;769 007 326;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;154;15;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;0;;282 261 967;266 087 250;0;266 087 250;282 261 967;266 087 250;0;266 087 250;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;01;Prévention et gestion des risques inhérents à la production végétale;0;;20 569 515;21 420 499;0;21 420 499;20 569 515;20 923 649;0;20 923 649;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;02;Lutte contre les maladies animales et protection des animaux;0;;92 996 001;87 027 365;0;87 027 365;90 996 001;85 605 443;0;85 605 443;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;03;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;0;;15 428 339;14 506 072;0;14 506 072;15 428 339;14 306 072;0;14 306 072;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;04;Actions transversales;0;;74 627 370;71 828 847;0;71 828 847;74 006 370;72 136 847;0;72 136 847;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;05;Elimination des cadavres et des sous-produits animaux;0;;2 125 892;3 707 000;0;3 707 000;3 425 892;4 200 000;0;4 200 000;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;0;;286 499 722;285 420 491;0;285 420 491;286 499 722;285 420 491;0;285 420 491;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;206;08;Qualité de l'alimentation et offre alimentaire;0;;3 872 430;3 979 084;0;3 979 084;3 872 430;3 979 084;0;3 979 084;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;01;Moyens de l'administration centrale;0;;204 159 049;198 627 303;0;198 627 303;209 785 385;203 753 325;0;203 753 325;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;02;Évaluation de l'impact des politiques publiques et information économique;0;;18 540 433;17 997 655;0;17 997 655;18 540 433;17 997 655;0;17 997 655;;;;;;;;
