Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;Budget général;;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2015;AEPLF;AEAMT;AELF; CPLF 2015; CPPLF;CPAMT;CPLF;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;24;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);621 758 053;28 589 000;0;28 589 000;0;214 889 789;0;214 889 789;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;25;Commander et conduire - Système d'information TERRE;12 809 197;8 000 000;0;8 000 000;53 683 355;50 826 149;0;50 826 149;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;27;Commander et conduire - Géographie numérique;120 600 000;138 000 000;0;138 000 000;30 965 013;48 101 301;0;48 101 301;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;28;Commander et conduire - Autres opérations;0;27 701 010;0;27 701 010;36 416 853;27 154 306;0;27 154 306;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;29;Commander et conduire - Système d'information des armées (SIA);325 200 000;0;0;0;81 832 042;109 113 570;0;109 113 570;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;32;Communiquer - SYRACUSE III;74 597 600;106 580 000;0;106 580 000;0;101 056 836;0;101 056 836;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;33;Communiquer - Moyen d'élongation pour les communications HF interarmées et OTAN en réseau (MELCHIOR);24 200 000;0;0;0;0;23 019 855;0;23 019 855;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;35;Communiquer - Autres opérations;1 190 142 643;417 792 000;0;417 792 000;0;404 483 285;0;404 483 285;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;335 000 000;513 402 402;0;513 402 402;1 193 633;118 218 401;0;118 218 401;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;39;Renseigner, surveiller, acquérir et reconnaître - Autres opérations;1 073 423 690;572 012 262;0;572 012 262;241 143 857;489 496 291;0;489 496 291;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;40;Renseigner, surveiller, acquérir et reconnaître - MUSIS;0;0;0;0;113 612 032;133 003 605;0;133 003 605;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;41;Communiquer - DESCARTES;121 200 000;150 000 000;0;150 000 000;0;30 671 121;0;30 671 121;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;42;Renseigner, surveiller, acquérir et reconnaître - CERES;175 000 000;200 500 000;0;200 500 000;0;93 008 082;0;93 008 082;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;0;Renseigner, surveiller, acquérir et reconnaître - CERES;3 586 981 645;2 834 192 277;0;2 834 192 277;953 684 563;1 273 920 964;0;1 273 920 964;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;42;Projeter les forces - Avion de transport futur (A400M);774 039 727;255 360 000;0;255 360 000;395 485 083;316 380 464;0;316 380 464;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;43;Projeter les forces - Autres opérations;128 600 000;364 717 015;0;364 717 015;79 122 984;237 688 935;0;237 688 935;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;46;Assurer la mobilité - Rénovation Cougar;0;0;0;0;26 655 972;35 178 623;0;35 178 623;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;47;Assurer la mobilité - Hélicoptère NH 90;1 018 200 000;260 000 000;0;260 000 000;279 693 779;319 797 543;0;319 797 543;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;48;Assurer la mobilité - Autres opérations;40 345 685;72 256 650;0;72 256 650;42 044 261;52 879 735;0;52 879 735;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;51;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);0;0;0;0;16 807 344;101 046 595;0;101 046 595;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;53;Maintenir le potentiel ami et autre - Autres opérations;25 796 233;256 258 612;0;256 258 612;31 661 919;37 004 009;0;37 004 009;;;;;;;;
Défense;146;08;Projection - mobilité - soutien;55;Maintenir le potentiel ami et autre - MRTT;1 600 000 000;1 625 600 000;0;1 625 600 000;82 213 221;173 945 060;0;173 945 060;;;;;;;;
Défense;146;09;Engagement et combat;0;Maintenir le potentiel ami et autre - MRTT;3 809 038 775;3 835 178 600;0;3 835 178 600;3 046 894 957;3 316 689 133;0;3 316 689 133;;;;;;;;
Défense;146;09;Engagement et combat;56;Frapper à distance - Missile de croisière naval (MDCN);0;0;0;0;131 796 754;167 254 384;0;167 254 384;;;;;;;;
Défense;146;09;Engagement et combat;59;Frapper à distance - RAFALE;369 137 595;428 528 710;0;428 528 710;651 727 110;538 683 194;0;538 683 194;;;;;;;;
Défense;146;09;Engagement et combat;61;Frapper à distance - Autres opérations;199 492 017;289 222 561;0;289 222 561;287 000 149;302 356 804;0;302 356 804;;;;;;;;
Défense;146;09;Engagement et combat;66;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);149 441 737;0;0;0;84 133 565;76 463 610;0;76 463 610;;;;;;;;
Défense;146;09;Engagement et combat;68;Opérer en milieu hostile - Hélicoptère HAP/HAD TIGRE;206 000 000;151 500 000;0;151 500 000;194 102 733;218 134 568;0;218 134 568;;;;;;;;
Défense;146;09;Engagement et combat;69;Opérer en milieu hostile - Future torpille lourde (FTL);88 800 000;0;0;0;34 205 897;43 802 460;0;43 802 460;;;;;;;;
Défense;146;09;Engagement et combat;71;Opérer en milieu hostile - Evolution Exocet;0;0;0;0;44 272 153;43 379 509;0;43 379 509;;;;;;;;
Défense;146;09;Engagement et combat;73;Opérer en milieu hostile - Frégates multi-missions (FREMM);487 000 000;100 000 000;0;100 000 000;362 714 805;351 078 285;0;351 078 285;;;;;;;;
Défense;146;09;Engagement et combat;74;Opérer en milieu hostile - SNA Barracuda;1 161 000 000;1 124 000 000;0;1 124 000 000;599 726 995;645 404 230;0;645 404 230;;;;;;;;
Défense;146;09;Engagement et combat;75;Opérer en milieu hostile - Autres opérations et conduire des opérations spéciales;731 167 426;602 927 329;0;602 927 329;513 041 234;697 033 713;0;697 033 713;;;;;;;;
Défense;146;09;Engagement et combat;77;Opérer en milieu hostile -  SCORPION;417 000 000;1 139 000 000;0;1 139 000 000;77 935 654;154 549 553;0;154 549 553;;;;;;;;
Défense;146;09;Engagement et combat;88;Opérer en milieu hostile - missile moyenne portée MMP;0;0;0;0;37 797 033;78 548 823;0;78 548 823;;;;;;;;
Défense;146;10;Protection et sauvegarde;0;Opérer en milieu hostile - missile moyenne portée MMP;468 394 861;872 509 174;0;872 509 174;326 144 999;429 730 248;0;429 730 248;;;;;;;;
Défense;146;10;Protection et sauvegarde;79;Assurer la sûreté des approches - Autres opérations et assurer la sécurité de l'Etat, de la nation et des citoyens;386 188 320;243 434 374;0;243 434 374;140 527 815;234 029 322;0;234 029 322;;;;;;;;
Défense;146;10;Protection et sauvegarde;80;Assurer la sûreté des approches - Alerte avancée;0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;10;Protection et sauvegarde;82;Assurer la protection des forces et des sites - Famille de systèmes sol-air futurs (FSAF);5 000 000;519 800 000;0;519 800 000;43 507 374;107 357 126;0;107 357 126;;;;;;;;
Défense;146;10;Protection et sauvegarde;86;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;77 206 541;109 274 800;0;109 274 800;142 109 810;88 343 800;0;88 343 800;;;;;;;;
Défense;146;11;Préparation et conduite des opérations d'armement;0;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;184 707 488;188 016 391;0;188 016 391;213 546 131;199 881 743;0;199 881 743;;;;;;;;
Défense;146;11;Préparation et conduite des opérations d'armement;89;Fonctionnement et soutien DGA;79 951 833;77 910 631;0;77 910 631;95 422 156;89 151 048;0;89 151 048;;;;;;;;
Défense;146;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;104 755 655;110 105 760;0;110 105 760;118 123 975;110 730 695;0;110 730 695;;;;;;;;
Défense;146;12;Parts étrangères et programmes civils;0;Investissements pour les opérations d'armement;0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;12;Parts étrangères et programmes civils;96;Parts étrangères;0;0;0;0;0;0;0;0;;;;;;;;
Défense;146;12;Parts étrangères et programmes civils;97;Programmes civils;0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;01;Planification  des moyens et conduite des opérations;0;Programmes civils;464 520 346;434 440 135;0;434 440 135;446 590 458;440 729 790;0;440 729 790;;;;;;;;
Défense;178;01;Planification  des moyens et conduite des opérations;10;Emploi des forces;237 289 365;232 785 692;0;232 785 692;231 527 421;229 350 856;0;229 350 856;;;;;;;;
Défense;178;01;Planification  des moyens et conduite des opérations;11;Renseignement d'intérêt militaire;37 670 695;36 855 763;0;36 855 763;36 751 898;36 309 409;0;36 309 409;;;;;;;;
Défense;178;01;Planification  des moyens et conduite des opérations;14;Systèmes d'information et de communication;189 560 286;164 798 680;0;164 798 680;178 311 139;175 069 525;0;175 069 525;;;;;;;;
Défense;178;02;Préparation des forces terrestres;0;Systèmes d'information et de communication;1 400 897 020;1 387 658 851;0;1 387 658 851;1 279 715 526;1 224 813 891;0;1 224 813 891;;;;;;;;
Défense;178;02;Préparation des forces terrestres;1;Commandement et activités des forces terrestres;155 025 982;151 078 780;0;151 078 780;141 919 456;132 615 129;0;132 615 129;;;;;;;;
Défense;178;02;Préparation des forces terrestres;5;Ressources humaines des forces terrestres;108 862 643;107 050 934;0;107 050 934;100 121 299;94 358 037;0;94 358 037;;;;;;;;
Défense;178;02;Préparation des forces terrestres;7;Maintien en condition opérationnelle du matériel des forces terrestres;782 582 331;766 510 484;0;766 510 484;784 887 451;702 118 263;0;702 118 263;;;;;;;;
Défense;178;02;Préparation des forces terrestres;8;Environnement opérationnel des forces terrestres;354 426 064;363 018 653;0;363 018 653;252 787 320;295 722 462;0;295 722 462;;;;;;;;
Défense;178;03;Préparation des forces navales;0;Environnement opérationnel des forces terrestres;3 002 632 444;2 880 852 301;0;2 880 852 301;1 958 519 041;1 954 297 267;0;1 954 297 267;;;;;;;;
Défense;178;03;Préparation des forces navales;1;Commandement et activités des forces navales;256 516 450;272 080 716;0;272 080 716;255 600 303;268 193 625;0;268 193 625;;;;;;;;
Défense;178;03;Préparation des forces navales;5;Ressources humaines des forces navales;42 061 426;36 286 377;0;36 286 377;40 801 359;36 650 205;0;36 650 205;;;;;;;;
Défense;178;03;Préparation des forces navales;7;Maintien en condition opérationnelle du matériel des forces navales;2 583 805 334;2 497 301 792;0;2 497 301 792;1 543 584 866;1 572 993 267;0;1 572 993 267;;;;;;;;
Défense;178;03;Préparation des forces navales;8;Environnement opérationnel des forces navales;120 249 234;75 183 416;0;75 183 416;118 532 513;76 460 170;0;76 460 170;;;;;;;;
Défense;178;04;Préparation des forces aériennes;0;Environnement opérationnel des forces navales;2 170 819 840;2 546 225 470;0;2 546 225 470;1 866 605 808;1 950 218 583;0;1 950 218 583;;;;;;;;
Défense;178;04;Préparation des forces aériennes;2;Commandement et activités centralisées des forces aériennes;16 321 764;12 322 404;0;12 322 404;16 006 598;12 365 398;0;12 365 398;;;;;;;;
Défense;178;04;Préparation des forces aériennes;3;Activités des forces aériennes;265 660 308;278 548 814;0;278 548 814;264 202 576;277 685 021;0;277 685 021;;;;;;;;
Défense;178;04;Préparation des forces aériennes;4;Activités des forces aériennes stratégiques;140 514 871;141 387 291;0;141 387 291;137 764 871;139 737 291;0;139 737 291;;;;;;;;
Défense;178;04;Préparation des forces aériennes;5;Ressources humaines des forces aériennes;71 655 707;71 671 710;0;71 671 710;71 116 195;71 105 194;0;71 105 194;;;;;;;;
Défense;178;04;Préparation des forces aériennes;6;Entretien et équipements des forces aériennes;1 676 667 190;2 042 295 251;0;2 042 295 251;1 377 515 568;1 449 325 679;0;1 449 325 679;;;;;;;;
Défense;178;04;Préparation des forces aériennes;9;Service industriel aéronautique (SIAé);0;0;0;0;0;0;0;0;;;;;;;;
Défense;178;05;Logistique et soutien interarmées;0;Service industriel aéronautique (SIAé);1 464 237 938;1 501 928 253;0;1 501 928 253;1 256 308 100;1 341 614 804;0;1 341 614 804;;;;;;;;
Défense;178;05;Logistique et soutien interarmées;80;Fonction santé;238 995 948;240 366 669;0;240 366 669;139 207 720;136 559 678;0;136 559 678;;;;;;;;
Défense;178;05;Logistique et soutien interarmées;81;Fonction pétrolière;32 633 336;0;0;0;31 834 608;0;0;0;;;;;;;;
Défense;178;05;Logistique et soutien interarmées;82;Soutien des forces par les bases de défense;839 990 275;710 354 215;0;710 354 215;734 479 400;660 339 810;0;660 339 810;;;;;;;;
Défense;178;05;Logistique et soutien interarmées;83;Soutiens complémentaires;132 642 838;147 947 891;0;147 947 891;136 160 718;147 366 684;0;147 366 684;;;;;;;;
Défense;178;05;Logistique et soutien interarmées;84;Service interarmées des munitions;9 328 802;11 889 504;0;11 889 504;9 098 764;11 731 014;0;11 731 014;;;;;;;;
Défense;178;05;Logistique et soutien interarmées;85;Service du commissariat aux armées;210 646 739;391 369 974;0;391 369 974;205 526 890;385 617 618;0;385 617 618;;;;;;;;
Défense;178;06;Surcoûts liés aux opérations extérieures;0;Service du commissariat aux armées;280 000 000;280 000 000;0;280 000 000;280 000 000;280 000 000;0;280 000 000;;;;;;;;
Défense;178;07;Surcoûts liés aux opérations intérieures;0;Service du commissariat aux armées;0;0;0;0;0;0;0;0;;;;;;;;
Défense;212;04;Politique immobilière;0;Service du commissariat aux armées;1 705 281 522;1 611 331 148;0;1 611 331 148;1 051 380 515;1 171 218 099;0;1 171 218 099;;;;;;;;
Défense;212;05;Systèmes d'information, d'administration et de gestion;0;Service du commissariat aux armées;148 720 305;138 283 130;0;138 283 130;113 449 136;110 820 931;0;110 820 931;;;;;;;;
Défense;212;06;Politiques des ressources humaines;0;Service du commissariat aux armées;129 227 740;130 427 317;0;130 427 317;129 164 740;130 427 317;0;130 427 317;;;;;;;;
Défense;212;06;Politiques des ressources humaines;3;Reconversion;32 711 802;34 792 284;0;34 792 284;32 648 802;34 792 284;0;34 792 284;;;;;;;;
Défense;212;06;Politiques des ressources humaines;4;Action sociale et autres politiques de ressources humaines (hors rémunérations des agents);96 515 938;95 635 033;0;95 635 033;96 515 938;95 635 033;0;95 635 033;;;;;;;;
Défense;212;08;Politique culturelle et éducative;0;Action sociale et autres politiques de ressources humaines (hors rémunérations des agents);28 812 800;32 868 302;0;32 868 302;28 412 800;32 841 303;0;32 841 303;;;;;;;;
Défense;212;08;Politique culturelle et éducative;1;Actions culturelles et mise en valeur du patrimoine;23 615 513;27 815 877;0;27 815 877;23 615 513;27 815 877;0;27 815 877;;;;;;;;
Défense;212;08;Politique culturelle et éducative;2;Gestion et communication des archives historiques de la défense;5 197 287;5 052 425;0;5 052 425;4 797 287;5 025 426;0;5 025 426;;;;;;;;
Défense;212;10;Restructurations;0;Gestion et communication des archives historiques de la défense;144 947 669;57 192 058;0;57 192 058;193 879 073;139 346 969;0;139 346 969;;;;;;;;
Défense;212;11;Pilotage, soutien et communication;0;Gestion et communication des archives historiques de la défense;440 267 880;357 124 454;0;357 124 454;444 594 876;442 556 667;0;442 556 667;;;;;;;;
Défense;212;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";0;Gestion et communication des archives historiques de la défense;472 224 452;497 584 190;0;497 584 190;472 224 452;497 584 190;0;497 584 190;;;;;;;;
Défense;212;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";1;Renseignement extérieur;402 967 947;412 889 922;0;412 889 922;402 967 947;412 889 922;0;412 889 922;;;;;;;;
Défense;212;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";2;Renseignement de sécurité et de défense;69 256 505;84 694 268;0;84 694 268;69 256 505;84 694 268;0;84 694 268;;;;;;;;
Défense;212;51;"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";0;Renseignement de sécurité et de défense;85 041 291;23 690 487;0;23 690 487;85 041 291;23 690 487;0;23 690 487;;;;;;;;
Défense;212;51;"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";1;DGRIS / Administration  centrale;5 115 610;23 690 487;0;23 690 487;5 115 610;23 690 487;0;23 690 487;;;;;;;;
Défense;212;52;Relations internationales;0;DGRIS / Administration  centrale;71 910 467;38 981 499;0;38 981 499;71 910 467;38 981 499;0;38 981 499;;;;;;;;
Défense;212;52;Relations internationales;1;DGA / Soutien aux exportations;0;4 422 987;0;4 422 987;0;4 422 987;0;4 422 987;;;;;;;;
Défense;212;52;Relations internationales;2;DGRIS / Diplomatie de défense;71 910 467;34 558 512;0;34 558 512;71 910 467;34 558 512;0;34 558 512;;;;;;;;
Défense;212;53;"Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  ""Équipement des forces """;0;DGRIS / Diplomatie de défense;1 893 025 191;1 925 309 477;0;1 925 309 477;1 893 025 191;1 925 309 477;0;1 925 309 477;;;;;;;;
Défense;212;53;"Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  ""Équipement des forces """;1;Soutien aux opérations d'armement;1 893 025 191;1 925 309 477;0;1 925 309 477;1 893 025 191;1 925 309 477;0;1 925 309 477;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";0;Soutien aux opérations d'armement;1 076 546 677;990 286 626;0;990 286 626;1 076 546 677;990 286 626;0;990 286 626;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";1;Commandement des armées;116 675 662;77 714 504;0;77 714 504;116 675 662;77 714 504;0;77 714 504;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";2;Organismes interarmées à vocation opérationnelle;70 024 291;112 044 719;0;112 044 719;70 024 291;112 044 719;0;112 044 719;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";3;Organismes interarmées à vocation prospective et maitrise des armements;46 682 861;8 784 261;0;8 784 261;46 682 861;8 784 261;0;8 784 261;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";4;Enseignement interarmées;93 365 721;28 939 245;0;28 939 245;93 365 721;28 939 245;0;28 939 245;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";5;EMA / Relations internationales militaires / PPE;140 048 583;92 163 740;0;92 163 740;140 048 583;92 163 740;0;92 163 740;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";6;Renseignement d'intérêt militaire;127 528 362;136 933 810;0;136 933 810;127 528 362;136 933 810;0;136 933 810;;;;;;;;
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";7;Systèmes d'information et de communication;482 221 197;533 706 347;0;533 706 347;482 221 197;533 706 347;0;533 706 347;;;;;;;;
Défense;212;55;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";0;Systèmes d'information et de communication;5 944 952 136;6 105 922 452;0;6 105 922 452;5 944 952 136;6 105 922 452;0;6 105 922 452;;;;;;;;
Défense;212;55;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Ressources humaines des forces terrestres;5 944 952 136;6 105 922 452;0;6 105 922 452;5 944 952 136;6 105 922 452;0;6 105 922 452;;;;;;;;
Défense;212;56;"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";0;Ressources humaines des forces terrestres;2 415 975 913;2 262 183 494;0;2 262 183 494;2 415 975 913;2 262 183 494;0;2 262 183 494;;;;;;;;
Défense;212;56;"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Ressources humaines des forces navales;2 415 975 913;2 262 183 494;0;2 262 183 494;2 415 975 913;2 262 183 494;0;2 262 183 494;;;;;;;;
Défense;212;56;"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Rémunérations des ouvriers de l'Etat de la DCNS;0;0;0;0;0;0;0;0;;;;;;;;
Défense;212;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";0;Rémunérations des ouvriers de l'Etat de la DCNS;2 461 978 115;2 334 369 837;0;2 334 369 837;2 461 978 115;2 334 369 837;0;2 334 369 837;;;;;;;;
Défense;212;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Ressources humaines des forces aériennes;2 461 978 115;2 334 369 837;0;2 334 369 837;2 461 978 115;2 334 369 837;0;2 334 369 837;;;;;;;;
Défense;212;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Service industriel aéronautique(SIAé);0;0;0;0;0;0;0;0;;;;;;;;
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";0;Service industriel aéronautique(SIAé);2 710 082 374;3 108 718 605;0;3 108 718 605;2 710 082 374;3 108 718 605;0;3 108 718 605;;;;;;;;
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Fonction pétrolière;121 802 258;130 320 710;0;130 320 710;121 802 258;130 320 710;0;130 320 710;;;;;;;;
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Logistique et soutien interarmées / CICoS;1 481 958 332;63 850 964;0;63 850 964;1 481 958 332;63 850 964;0;63 850 964;;;;;;;;
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";3;Soutiens complémentaires;16 964 172;20 679 118;0;20 679 118;16 964 172;20 679 118;0;20 679 118;;;;;;;;
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";4;Service interarmées des munitions;78 017 024;78 545 699;0;78 545 699;78 017 024;78 545 699;0;78 545 699;;;;;;;;
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";5;Service du commissariat des armées;243 337 477;1 676 182 281;0;1 676 182 281;243 337 477;1 676 182 281;0;1 676 182 281;;;;;;;;
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";6;Fonction santé;768 003 111;1 139 139 833;0;1 139 139 833;768 003 111;1 139 139 833;0;1 139 139 833;;;;;;;;
Défense;212;59;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";0;Fonction santé;181 000 000;196 000 000;0;196 000 000;181 000 000;196 000 000;0;196 000 000;;;;;;;;
Défense;212;59;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Surcoûts liés aux opérations extérieures;170 000 000;170 000 000;0;170 000 000;170 000 000;170 000 000;0;170 000 000;;;;;;;;
Défense;212;59;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Surcoûts liés aux opérations intérieures;11 000 000;26 000 000;0;26 000 000;11 000 000;26 000 000;0;26 000 000;;;;;;;;
Défense;212;60;"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""";0;Surcoûts liés aux opérations intérieures;312 965 158;473 104 608;0;473 104 608;312 965 158;473 104 608;0;473 104 608;;;;;;;;
Défense;212;61;"Politiques des ressources humaines - Personnel travaillant pour l'action ""Politiques des ressources""";0;Surcoûts liés aux opérations intérieures;319 487 564;322 532 214;0;322 532 214;319 487 564;322 532 214;0;322 532 214;;;;;;;;
Défense;212;61;"Politiques des ressources humaines - Personnel travaillant pour l'action ""Politiques des ressources""";1;Actions sociales et autres politiques des ressources humaines;180 152 628;173 679 526;0;173 679 526;180 152 628;173 679 526;0;173 679 526;;;;;;;;
Défense;212;61;"Politiques des ressources humaines - Personnel travaillant pour l'action ""Politiques des ressources""";2;Reconversion des personnels militaires - Chômage;116 149 924;122 118 812;0;122 118 812;116 149 924;122 118 812;0;122 118 812;;;;;;;;
Défense;212;61;"Politiques des ressources humaines - Personnel travaillant pour l'action ""Politiques des ressources""";3;Reconversion des personnels civils - Chômage;23 185 012;26 733 876;0;26 733 876;23 185 012;26 733 876;0;26 733 876;;;;;;;;
Défense;212;62;"Politique culturelle et éducative - gestion et communication des archives historiques de la défense - Personnel travaillant pour l'action ""Politique culturelle et éducative""";0;Reconversion des personnels civils - Chômage;37 414 491;46 971 959;0;46 971 959;37 414 491;46 971 959;0;46 971 959;;;;;;;;
Défense;212;63;"Restructurations - Personnel travaillant pour l'action ""Restructurations""";0;Reconversion des personnels civils - Chômage;180 854 630;154 104 630;0;154 104 630;180 854 630;154 104 630;0;154 104 630;;;;;;;;
Défense;212;63;"Restructurations - Personnel travaillant pour l'action ""Restructurations""";1;Restructurations Personnels civils;61 392 110;48 242 110;0;48 242 110;61 392 110;48 242 110;0;48 242 110;;;;;;;;
Défense;212;63;"Restructurations - Personnel travaillant pour l'action ""Restructurations""";2;Restructurations Personnels militaires;119 462 520;105 862 520;0;105 862 520;119 462 520;105 862 520;0;105 862 520;;;;;;;;
Défense;212;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;0;Restructurations Personnels militaires;485 027 347;448 848 123;0;448 848 123;485 027 347;448 848 123;0;448 848 123;;;;;;;;
Défense;212;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;1;Personnel du SGA employeur;303 265 237;321 783 353;0;321 783 353;303 265 237;321 783 353;0;321 783 353;;;;;;;;
Défense;212;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;7;Personnel de l'action sociale;57 056 665;79 522 171;0;79 522 171;57 056 665;79 522 171;0;79 522 171;;;;;;;;
Défense;212;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;8;Personnel de l'agence de reconversion de la Défense;39 607 560;47 542 599;0;47 542 599;39 607 560;47 542 599;0;47 542 599;;;;;;;;
Défense;212;65;"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Liens entre la Nation et son armée""";0;Personnel de l'agence de reconversion de la Défense;73 333 775;85 668 047;0;85 668 047;73 333 775;85 668 047;0;85 668 047;;;;;;;;
Défense;212;66;Rayonnement et contribution extérieure;0;Personnel de l'agence de reconversion de la Défense;0;23 795 575;0;23 795 575;0;23 795 575;0;23 795 575;;;;;;;;
Défense;212;66;Rayonnement et contribution extérieure;1;Pilotage, soutien et communication - effectifs sortants remboursés sous PMEA Mindef;0;0;0;0;0;0;0;0;;;;;;;;
Défense;212;66;Rayonnement et contribution extérieure;2;Pilotage, soutien et communication - effectifs sortants non remboursés sous PMEA Mindef;0;23 795 575;0;23 795 575;0;23 795 575;0;23 795 575;;;;;;;;
Défense;212;66;Rayonnement et contribution extérieure;3;Pilotage, soutien et communication - effectifs sortants remboursés hors PMEA Mindef;0;0;0;0;0;0;0;0;;;;;;;;
Défense;212;66;Rayonnement et contribution extérieure;4;Pilotage, soutien et communication - Présidence de la République;0;0;0;0;0;0;0;0;;;;;;;;
Défense;212;66;Rayonnement et contribution extérieure;5;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;0;0;0;0;0;0;0;0;;;;;;;;
