Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;6;Affaires juridiques et contentieuses;;;80 000 000;80 000 000;9;Intérieur
PLF 2019;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;8;Immigration, asile et intégration;;;41 076 644;41 076 644;9;Intérieur
PLF 2019;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;9;Sécurité et éducation routières;;;126 338 542;126 338 542;9;Intérieur
PLF 2019;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;10;Fonds interministériel de prévention de la délinquance;;;70 398 869;70 398 869;9;Intérieur
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;21;Adaptation des filières à l'évolution des marchés;;;222 820 000;223 220 000;3;Agriculture et alimentation
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;22;Gestion des crises et des aléas de la production agricole;;;5 374 381;5 374 381;3;Agriculture et alimentation
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;23;Appui au renouvellement et à la modernisation des exploitations agricoles;;;124 197 183;157 058 460;3;Agriculture et alimentation
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;24;Gestion équilibrée et durable des territoires;;;399 021 554;440 040 720;3;Agriculture et alimentation
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;25;Protection sociale;;;59 892 865;59 892 865;3;Agriculture et alimentation
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;26;Gestion durable de la forêt et développement de la filière bois;;;246 794 253;254 725 628;3;Agriculture et alimentation
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;500 978 831;500 978 831;3;Agriculture et alimentation
