GESTION;2018;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Agriculture, alimentation, forêt et affaires rurales;206;05;Elimination des cadavres et des sous-produits animaux;;;4 266 000;3 300 000;3 869 000;3 800 000
Agriculture, alimentation, forêt et affaires rurales;206;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;;;297 130 424;318 483 920;297 130 424;318 483 920
Agriculture, alimentation, forêt et affaires rurales;206;08;Qualité de l'alimentation et offre alimentaire;;;3 711 500;3 711 500;3 710 500;3 710 500
Agriculture, alimentation, forêt et affaires rurales;215;01;Moyens de l'administration centrale;;;206 971 467;206 591 927;205 905 403;210 594 176
Agriculture, alimentation, forêt et affaires rurales;215;02;Évaluation de l'impact des politiques publiques et information économique;;;18 257 550;18 285 823;18 257 550;18 285 823
Agriculture, alimentation, forêt et affaires rurales;215;03;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);;;360 644 627;355 757 495;360 644 627;355 757 495
Agriculture, alimentation, forêt et affaires rurales;215;04;Moyens communs;;;67 779 294;69 563 025;67 878 973;71 606 325
Aide publique au développement;110;01;Aide économique et financière multilatérale;;;1 452 260 139;430 870 721;586 619 912;594 361 154
Aide publique au développement;110;02;Aide économique et financière bilatérale;;;360 000 000;409 630 000;275 817 509;263 001 153
Aide publique au développement;110;03;Traitement de la dette des pays pauvres;;;330 250 218;0;103 519 581;104 051 690
Aide publique au développement;209;02;Coopération bilatérale;;;585 885 802;683 247 317;555 710 462;573 209 159
Aide publique au développement;209;05;Coopération multilatérale;;;150 414 041;145 095 739;156 127 302;150 809 000
Aide publique au développement;209;07;Coopération communautaire;;;742 451 124;849 852 395;742 451 124;849 852 395
Aide publique au développement;209;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;;184 499 624;164 417 981;184 499 624;164 417 981
Aide publique au développement;209;09;Actions de co-développement;;;215 700;;215 700;
Anciens combattants, mémoire et liens avec la nation;158;01;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;;;46 444 098;46 414 864;46 444 098;46 414 864
Anciens combattants, mémoire et liens avec la nation;158;02;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;;;54 356 374;54 385 809;54 356 374;54 385 809
Anciens combattants, mémoire et liens avec la nation;167;01;Journée défense et citoyenneté;;;15 503 766;14 787 483;15 710 000;14 624 062
Anciens combattants, mémoire et liens avec la nation;167;02;Politique de mémoire;;;22 586 600;28 200 000;22 586 600;28 200 000
Anciens combattants, mémoire et liens avec la nation;169;01;Administration de  la dette viagère;10;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;1 141 350 000;1 074 000 000;1 141 350 000;1 074 000 000
Anciens combattants, mémoire et liens avec la nation;169;01;Administration de  la dette viagère;11;Retraite du combattant;748 000 000;743 900 000;748 000 000;743 900 000
Anciens combattants, mémoire et liens avec la nation;169;02;Gestion  des droits liés aux pensions militaires d'invalidité;21;Soins médicaux gratuits et appareillage des mutilés;55 300 000;52 400 000;55 300 000;52 400 000
Anciens combattants, mémoire et liens avec la nation;169;02;Gestion  des droits liés aux pensions militaires d'invalidité;22;Remboursement des réductions de transport accordées aux invalides;3 200 000;2 700 000;3 200 000;2 700 000
Anciens combattants, mémoire et liens avec la nation;169;02;Gestion  des droits liés aux pensions militaires d'invalidité;23;Remboursement des prestations de sécurité sociale aux invalides;85 200 000;80 900 000;85 200 000;80 900 000
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;30;Fonds de solidarité pour les anciens combattants d'Afrique du Nord et d'Indochine;0;0;0;0
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;31;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;252 000 000;247 400 000;252 000 000;247 400 000
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;32;Subventions aux associations et oeuvres diverses;658 010;260 000;658 010;260 000
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;33;Indemnités, pécules et frais de voyages sur les tombes;110 000;50 000;110 000;50 000
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;34;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);26 400 000;26 400 000;26 400 000;26 400 000
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;35;Office national des anciens combattants (ONAC) : subventions;56 801 489;58 027 168;56 801 489;58 027 168
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;36;Institution nationale des invalides : subventions;17 089 143;12 089 143;12 089 143;12 889 143
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;37;Conseil national des communes compagnons de la libération - Subventions;0;1 334 634;0;1 334 634
Anciens combattants, mémoire et liens avec la nation;169;07;Actions en faveur des rapatriés;;;17 270 000;17 570 000;17 270 000;17 570 000
Cohésion des territoires;109;01;Aides personnelles;;;15 452 000 000;13 538 131 300;15 452 000 000;13 538 131 300
Cohésion des territoires;109;02;Information relative au logement et accompagnement des publics en difficulté;;;8 142 500;8 268 700;8 142 500;8 268 700
Cohésion des territoires;109;03;Sécurisation des risques locatifs;;;9 300 000;9 800 000;9 300 000;9 800 000
Cohésion des territoires;112;01;Attractivité économique et compétitivité des territoires;;;154 458 986;59 450 680;82 752 062;95 618 058
Cohésion des territoires;112;02;Développement solidaire et équilibré des territoires;;;262 726 433;100 345 047;127 127 849;127 620 225
Cohésion des territoires;112;04;Instruments de pilotage et d'étude;;;34 914 620;31 167 189;37 401 020;31 639 916
Cohésion des territoires;135;01;Construction locative et amélioration du parc;;;204 803 000;55 300 000;204 803 000;55 300 000
Cohésion des territoires;135;02;Soutien à l'accession à la propriété;;;3 700 000;3 900 000;3 700 000;3 900 000
Cohésion des territoires;135;03;Lutte contre l'habitat indigne;;;4 706 000;7 200 000;4 706 000;7 200 000
Cohésion des territoires;135;04;Réglementation, politique technique et qualité de la construction;;;53 379 000;162 995 000;53 379 000;163 875 000
Cohésion des territoires;135;05;Soutien;;;14 665 771;17 187 771;14 665 771;17 187 771
Cohésion des territoires;135;07;Urbanisme et aménagement;;;117 509 000;64 980 000;71 909 000;64 100 000
Cohésion des territoires;135;08;Grand Paris;;;;;;
Cohésion des territoires;147;01;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;;;335 888 150;335 758 441;335 888 150;335 758 441
Cohésion des territoires;147;02;Revitalisation économique et emploi;;;48 522 000;50 330 000;48 522 000;50 330 000
Cohésion des territoires;147;03;Stratégie, ressources et évaluation;;;29 913 510;29 318 354;29 913 510;29 318 354
Cohésion des territoires;147;04;Rénovation urbaine et amélioration du cadre de vie;;;100 036 000;15 000 000;15 036 000;15 000 000
Cohésion des territoires;162;02;Eau - Agriculture en Bretagne;;;7 742 100;2 500 000;6 770 000;3 300 000
Cohésion des territoires;162;04;Programme exceptionnel d'investissements en faveur de la Corse;;;18 772 200;27 500 000;18 759 700;20 000 000
Cohésion des territoires;162;06;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes;;;1 354 700;1 000 000;1 740 600;1 600 000
Cohésion des territoires;162;08;Plan chlordécone en Martinique et en Guadeloupe;;;2 032 000;2 000 000;2 030 700;2 000 000
Cohésion des territoires;162;09;Plan littoral 21;;;;1 000 000;;500 000
