Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coordination de l'action diplomatique;01;;0;92128031;92128031
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Action européenne;02;;0;49129893;49129893
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Contributions internationales;04;;0;904581269;904581269
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coopération de sécurité et de défense;05;;0;87840302;87840302
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Soutien;06;;0;229456021;229456021
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Réseau diplomatique;07;;0;616349089;616349089
Budget général;1;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Offre d'un service public de qualité aux Français à l'étranger;01;;0;204865716;204865716
Budget général;1;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Accès des élèves français au réseau AEFE;02;;0;115500000;115500000
Budget général;1;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Instruction des demandes de visa;03;;0;49564498;49564498
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Animation du réseau;01;;0;42757684;42757684
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Coopération culturelle et promotion du français;02;;0;65881291;65881291
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Enjeux globaux;03;;0;8093800;8093800
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Attractivité et recherche;04;;0;100353187;100353187
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Agence pour l'enseignement français à l'étranger;05;;0;394410000;394410000
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Dépenses de personnel concourant au programme "Diplomatie culturelle et d'influence";06;;0;73984259;73984259
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Développement international  Tourisme;07;;0;33349000;33349000
Budget général;1;Action extérieure de l'État;AA;Conférence 'Paris Climat 2015';341;Préparation et suivi de la COP21;01;;0;1500000;1500000
Budget général;1;Action extérieure de l'État;AA;Conférence 'Paris Climat 2015';341;Organisation de la COP21;02;;0;6260000;6260000
Budget général;1;Action extérieure de l'État;AA;Conférence 'Paris Climat 2015';341;Accueil des délégations étrangères;03;;0;0;0
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;État-major et services centraux;01;;0;349018832;349018832
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Système d'information et de communication;03;;0;66307095;66307095
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Action sociale et formation;04;;0;38419460;38419460
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Affaires immobilières;05;;0;113473728;113473728
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Affaires juridiques et contentieuses;06;;0;48300000;48300000
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Immigration, asile et intégration;08;;0;37214747;37214747
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Sécurité et éducation routières;09;;0;123453234;123453234
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Financement des partis;01;;0;68670671;68670671
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Organisation des élections;02;;0;25006213;25006213
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Commission nationale des comptes de campagne et des financements politiques;03;;0;4745049;4745049
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Cultes;04;;0;2548037;2548037
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Vie associative;05;;0;55000;55000
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Coordination de la sécurité des personnes et des biens;01;;0;156673119;156673119
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;02;;0;646288462;646288462
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Contrôle de légalité et conseil aux collectivités territoriales;03;;0;138551691;138551691
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Pilotage territorial des politiques gouvernementales;04;;0;490081140;490081140
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Animation et soutien du réseau;05;;0;216104377;216104377
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Forêt;149;Gestion des forêts publiques et protection de la forêt;11;;0;202058713;202058713
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Forêt;149;Développement économique de la filière et gestion durable;12;;0;65108394;65108394
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Forêt;149;Fonds stratégique de la forêt et du bois;13;;0;10588826;10588826
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Adaptation des filières à l'évolution des marchés;11;;0;169155334;169155334
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Gestion des crises et des aléas de la production;12;;0;3418666;3418666
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Appui au renouvellement et à la modernisation des exploitations agricoles;13;;0;169250000;169250000
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Gestion équilibrée et durable des territoires;14;;0;782547326;782547326
