Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Autorisations d'engagement;Crédits de paiement
Budget général;BG;Cohésion des territoires;VA;Hébergement, parcours vers le logement et insertion des personnes vulnérables;177;Prévention de l'exclusion;11;49 361 191;49 361 191
Budget général;BG;Cohésion des territoires;VA;Hébergement, parcours vers le logement et insertion des personnes vulnérables;177;Hébergement et logement adapté;12;1 801 569 457;1 819 669 457
Budget général;BG;Cohésion des territoires;VA;Hébergement, parcours vers le logement et insertion des personnes vulnérables;177;Conduite et animation des politiques de l'hébergement et de l'inclusion sociale;14;9 132 657;9 132 657
Budget général;BG;Cohésion des territoires;VA;Aide à l'accès au logement;109;Aides personnelles;1;13 096 634 317;13 096 634 317
Budget général;BG;Cohésion des territoires;VA;Aide à l'accès au logement;109;Information relative au logement et accompagnement des publics en difficulté;2;8 317 400;8 317 400
Budget général;BG;Cohésion des territoires;VA;Aide à l'accès au logement;109;Sécurisation des risques locatifs;3;5 100 000;5 100 000
Budget général;BG;Cohésion des territoires;VA;Urbanisme, territoires et amélioration de l'habitat;135;Construction locative et amélioration du parc;1;10 800 000;10 800 000
Budget général;BG;Cohésion des territoires;VA;Urbanisme, territoires et amélioration de l'habitat;135;Soutien à l'accession à la propriété;2;3 994 162;3 994 162
Budget général;BG;Cohésion des territoires;VA;Urbanisme, territoires et amélioration de l'habitat;135;Lutte contre l'habitat indigne;3;25 200 000;28 125 283
Budget général;BG;Cohésion des territoires;VA;Urbanisme, territoires et amélioration de l'habitat;135;Réglementation, politique technique et qualité de la construction;4;160 972 968;160 972 968
Budget général;BG;Cohésion des territoires;VA;Urbanisme, territoires et amélioration de l'habitat;135;Soutien;5;22 985 972;18 485 972
Budget général;BG;Cohésion des territoires;VA;Urbanisme, territoires et amélioration de l'habitat;135;Urbanisme et aménagement;7;61 124 866;62 699 583
Budget général;BG;Cohésion des territoires;VA;Urbanisme, territoires et amélioration de l'habitat;135;Grand Paris;8;;
Budget général;BG;Cohésion des territoires;VA;Impulsion et coordination de la politique d'aménagement du territoire;112;Attractivité économique et compétitivité des territoires;1;60 676 265;82 098 992
Budget général;BG;Cohésion des territoires;VA;Impulsion et coordination de la politique d'aménagement du territoire;112;Développement solidaire et équilibré des territoires;2;110 831 412;130 823 968
Budget général;BG;Cohésion des territoires;VA;Impulsion et coordination de la politique d'aménagement du territoire;112;Instruments de pilotage et d'étude;4;30 149 372;30 149 372
Budget général;BG;Cohésion des territoires;VA;Interventions territoriales de l'État;162;Eau - Agriculture en Bretagne;2;2 294 119;1 793 638
Budget général;BG;Cohésion des territoires;VA;Interventions territoriales de l'État;162;Programme exceptionnel d'investissements en faveur de la Corse;4;27 429 687;17 936 385
Budget général;BG;Cohésion des territoires;VA;Interventions territoriales de l'État;162;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes;6;;1 594 345
Budget général;BG;Cohésion des territoires;VA;Interventions territoriales de l'État;162;Plan chlordécone en Martinique et en Guadeloupe;8;1 994 886;1 992 932
Budget général;BG;Cohésion des territoires;VA;Interventions territoriales de l'État;162;Plan littoral 21;9;3 989 773;2 491 165
Budget général;BG;Cohésion des territoires;VA;Politique de la ville;147;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;1;419 398 245;419 398 245
Budget général;BG;Cohésion des territoires;VA;Politique de la ville;147;Revitalisation économique et emploi;2;44 250 000;44 250 000
Budget général;BG;Cohésion des territoires;VA;Politique de la ville;147;Stratégie, ressources et évaluation;3;24 419 002;24 419 002
Budget général;BG;Cohésion des territoires;VA;Politique de la ville;147;Rénovation urbaine et amélioration du cadre de vie;4;185 000 000;25 000 000
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil d'État et autres juridictions administratives;165;Fonction juridictionnelle : Conseil d'État;1;28 602 753;28 602 753
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil d'État et autres juridictions administratives;165;Fonction juridictionnelle : Cours administratives d'appel;2;55 133 770;55 133 770
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil d'État et autres juridictions administratives;165;Fonction juridictionnelle : Tribunaux administratifs;3;164 328 287;164 328 287
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil d'État et autres juridictions administratives;165;Fonction consultative;4;16 142 618;16 142 618
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil d'État et autres juridictions administratives;165;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;5;8 253 111;8 253 111
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil d'État et autres juridictions administratives;165;Soutien;6;174 210 174;110 816 766
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil d'État et autres juridictions administratives;165;Cour nationale du droit d'asile;7;36 768 818;36 768 818
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil économique, social et environnemental;126;Représentation des activités économiques et sociales;1;27 101 854;27 101 854
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil économique, social et environnemental;126;Fonctionnement de l'institution;2;11 675 023;11 675 023
Budget général;BG;Conseil et contrôle de l'État;CA;Conseil économique, social et environnemental;126;Communication et international;3;1 456 442;1 456 442
Budget général;BG;Conseil et contrôle de l'État;CA;Cour des comptes et autres juridictions financières;164;Examen des comptes publics;21;41 713 478;41 713 478
Budget général;BG;Conseil et contrôle de l'État;CA;Cour des comptes et autres juridictions financières;164;Contrôle des finances publiques;22;16 514 581;16 514 581
Budget général;BG;Conseil et contrôle de l'État;CA;Cour des comptes et autres juridictions financières;164;Contrôle des gestions publiques;23;62 516 796;62 516 796
Budget général;BG;Conseil et contrôle de l'État;CA;Cour des comptes et autres juridictions financières;164;Evaluation des politiques publiques;24;36 069 781;36 069 781
Budget général;BG;Conseil et contrôle de l'État;CA;Cour des comptes et autres juridictions financières;164;Information des citoyens;25;7 525 917;7 525 917
Budget général;BG;Conseil et contrôle de l'État;CA;Cour des comptes et autres juridictions financières;164;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;26;4 920 178;4 920 178
Budget général;BG;Conseil et contrôle de l'État;CA;Cour des comptes et autres juridictions financières;164;Pilotage et soutien des juridictions financières;27;62 890 374;50 593 374
Budget général;BG;Conseil et contrôle de l'État;CA;Haut Conseil des finances publiques;340;Haut Conseil des finances publiques;1;428 189;428 189
Budget général;BG;Crédits non répartis;PC;Provision relative aux rémunérations publiques;551;Provision relative aux rémunérations publiques;1;79 000 000;79 000 000
Budget général;BG;Crédits non répartis;PC;Dépenses accidentelles et imprévisibles;552;Dépenses accidentelles et imprévisibles;1;424 000 000;124 000 000
Budget général;BG;Culture;CB;Patrimoines;175;Monuments Historiques et patrimoine monumental;1;470 991 847;345 746 113
Budget général;BG;Culture;CB;Patrimoines;175;Architecture et espaces protégés;2;32 226 588;32 226 588
Budget général;BG;Culture;CB;Patrimoines;175;Patrimoine des musées de France;3;348 431 067;338 911 215
Budget général;BG;Culture;CB;Patrimoines;175;Patrimoine archivistique et célébrations nationales;4;30 329 110;30 021 271
Budget général;BG;Culture;CB;Patrimoines;175;Acquisition et enrichissement des collections publiques;8;9 775 311;9 775 311
Budget général;BG;Culture;CB;Patrimoines;175;Patrimoine archéologique;9;136 972 761;136 972 761
Budget général;BG;Culture;CB;Création;131;Soutien à la création, à la production et à la diffusion du spectacle vivant;1;705 971 765;705 941 765
Budget général;BG;Culture;CB;Création;131;Soutien à la création, à la production et à la diffusion des arts visuels;2;77 925 143;76 372 994
Budget général;BG;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;1;255 100 885;243 167 911
Budget général;BG;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Soutien à la démocratisation et à l'éducation artistique et culturelle;2;197 558 153;197 558 153
Budget général;BG;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Action culturelle internationale;6;7 385 969;7 385 969
Budget général;BG;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Fonctions de soutien du ministère;7;784 200 949;780 665 143
Budget général;BG;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Soutien à l'emploi dans le secteur culturel;8;43 000 000;30 000 000
Budget général;BG;Culture;CB;Transmission des savoirs et démocratisation de la culture;224;Langue française et langues de France;9;3 224 338;3 224 338
Budget général;BG;Défense;DA;Environnement et prospective de la politique de défense;144;Recherche et exploitation du renseignement intéressant la sécurité de la France;3;333 708 270;342 922 505
Budget général;BG;Défense;DA;Environnement et prospective de la politique de défense;144;Recherche et exploitation du renseignement intéressant la sécurité de la France;3;15 698 349;15 698 349
Budget général;BG;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;10 180 000;9 690 000
Budget général;BG;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;22 557 063;21 817 706
Budget général;BG;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;919 889 947;758 457 320
Budget général;BG;Défense;DA;Environnement et prospective de la politique de défense;144;Prospective de défense;7;288 157 412;288 157 412
Budget général;BG;Défense;DA;Environnement et prospective de la politique de défense;144;Relations internationales et diplomatie de défense;8;38 596 429;39 346 429
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Planification  des moyens et conduite des opérations;1;295 366 541;289 776 870
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Planification  des moyens et conduite des opérations;1;54 593 330;53 522 754
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Planification  des moyens et conduite des opérations;1;246 198 618;241 363 894
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;141 772 310;138 335 049
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;68 893 503;68 677 402
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;2 162 087 243;1 028 970 834
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;202 069 759;203 774 123
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;494 017 897;327 230 829
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;52 357 925;50 635 075
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;4 690 657 022;1 922 563 147
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;83 011 918;80 263 558
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;9 044 647;8 378 538
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;287 821 912;288 721 780
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;477 257 094;163 380 978
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;94 750 689;91 805 315
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;3 457 844 898;1 766 753 261
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;;
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;185 661 128;107 275 443
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;664 159 550;672 822 211
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;138 176 953;145 487 209
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;32 446 328;18 574 831
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;545 347 147;516 240 098
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Surcoûts liés aux opérations extérieures;6;600 000 000;600 000 000
Budget général;BG;Défense;DA;Préparation et emploi des forces;178;Surcoûts liés aux opérations intérieures;7;;
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Politique immobilière;4;2 049 877 248;1 785 388 575
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Systèmes d'information, d'administration et de gestion;5;174 517 769;168 420 141
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Politiques des ressources humaines;6;37 658 388;36 658 388
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Politiques des ressources humaines;6;114 914 845;115 964 795
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Politique culturelle et éducative;8;25 696 798;42 892 072
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Politique culturelle et éducative;8;3 211 282;3 211 282
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Restructurations;10;52 109 262;73 671 531
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication;11;389 823 856;417 332 747
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";50;465 281 828;465 281 828
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";50;120 081 993;120 081 993
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Prospective de défense - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";51;24 477 489;24 477 489
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Relations internationales;52;5 232 536;5 232 536
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Relations internationales;52;63 017 580;63 017 580
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  "Équipement des forces ";53;2 010 650 569;2 010 650 569
Budget général;BG;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;161 638 039;161 638 039
