Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Projeter les forces - Avion de transport futur (A400M);42;57923333;325774240
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Projeter les forces - Autres opérations;43;180649126;203787748
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Assurer la mobilité - Rénovation Cougar;46;0;31594801
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Assurer la mobilité - Hélicoptère NH 90;47;0;337029587
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Assurer la mobilité - Autres opérations;48;347689121;77766016
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);51;0;78221603
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Maintenir le potentiel ami et autre - Autres opérations;53;29616794;49779100
Budget général;1;Défense;DA;Équipement des forces;146;Projection - mobilité - soutien;8;Maintenir le potentiel ami et autre - MRTT;55;0;180806077
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Frapper à distance - Missile de croisière naval (MDCN);56;0;57861799
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Frapper à distance - RAFALE;59;59330489;482997888
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Frapper à distance - Autres opérations;61;68209571;293634798
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);66;0;48381979
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - Hélicoptère HAP/HAD TIGRE;68;26360000;299817626
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - Future torpille lourde (FTL);69;0;53382770
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - Evolution Exocet;71;0;33859118
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - Frégates multi-missions (FREMM);73;682000000;306268872
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - SNA Barracuda;74;950000000;571698594
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - Autres opérations et conduire des opérations spéciales;75;3079616112;776733093
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile -  SCORPION;77;100000000;190787391
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Frapper à distance - Mirage 2000;78;85585271;143930750
Budget général;1;Défense;DA;Équipement des forces;146;Engagement et combat;9;Opérer en milieu hostile - missile moyenne portée MMP;88;0;86846894
Budget général;1;Défense;DA;Équipement des forces;146;Protection et sauvegarde;10;Assurer la sûreté des approches - Autres opérations et assurer la sécurité de l'Etat, de la nation et des citoyens;79;302520691;204045573
Budget général;1;Défense;DA;Équipement des forces;146;Protection et sauvegarde;10;Assurer la sûreté des approches - Alerte avancée;80;0;0
Budget général;1;Défense;DA;Équipement des forces;146;Protection et sauvegarde;10;Assurer la protection des forces et des sites - Famille de systèmes sol-air futurs (FSAF);82;0;90235677
Budget général;1;Défense;DA;Équipement des forces;146;Protection et sauvegarde;10;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;86;105050082;97763394
Budget général;1;Défense;DA;Équipement des forces;146;Préparation et conduite des opérations d'armement;11;Fonctionnement et soutien DGA;89;82428072;84903182
Budget général;1;Défense;DA;Équipement des forces;146;Préparation et conduite des opérations d'armement;11;Investissements pour les opérations d'armement;90;127461825;110250529
Budget général;1;Défense;DA;Équipement des forces;146;Parts étrangères et programmes civils;12;Parts étrangères;96;0;0
Budget général;1;Défense;DA;Équipement des forces;146;Parts étrangères et programmes civils;12;Programmes civils;97;0;0
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Planification  des moyens et conduite des opérations;1;Emploi des forces;10;257830822;252776493
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Planification  des moyens et conduite des opérations;1;Renseignement d'intérêt militaire;11;45501137;44608957
