Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coordination de l'action diplomatique;1;;0;82729358;82729358
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Action européenne;2;;0;49428699;49428699
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Contributions internationales;4;;0;756277501;756277501
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coopération de sécurité et de défense;5;;0;93763570;93763570
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Soutien;6;;0;230623705;235588705
Budget général;1;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Réseau diplomatique;7;;0;581877313;581877313
Budget général;1;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Offre d'un service public de qualité aux Français à l'étranger;1;;0;200200705;200200705
Budget général;1;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Accès des élèves français au réseau AEFE;2;;0;125500000;125500000
Budget général;1;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Instruction des demandes de visa;3;;0;48056543;48056543
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Animation du réseau;1;;0;43980917;43980917
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Coopération culturelle et promotion du français;2;;0;67314899;67314899
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Enjeux globaux;3;;0;8643800;8643800
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Attractivité et recherche;4;;0;106233188;106233188
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Agence pour l'enseignement français à l'étranger;5;;0;408164838;408164838
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Dépenses de personnel concourant au programme "Diplomatie culturelle et d'influence";6;;0;80790050;80790050
Budget général;1;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Développement international  Tourisme;7;;0;30380000;30380000
Budget général;1;Action extérieure de l'État;AA;Conférence 'Paris Climat 2015';341;Préparation et suivi de la COP21;1;;0;20500000;19000000
Budget général;1;Action extérieure de l'État;AA;Conférence 'Paris Climat 2015';341;Organisation de la COP21;2;;0;151000000;16900000
Budget général;1;Action extérieure de l'État;AA;Conférence 'Paris Climat 2015';341;Accueil des délégations étrangères;3;;0;7500000;7500000
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;État-major et services centraux;1;;0;342311079;342311078
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Système d'information et de communication;3;;0;47828596;47828596
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Action sociale et formation;4;;0;36638614;36638614
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Affaires immobilières;5;;0;85950957;125900073
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Affaires juridiques et contentieuses;6;;0;77446463;77446463
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Immigration, asile et intégration;8;;0;39401382;39401382
Budget général;1;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Sécurité et éducation routières;9;;0;89316997;89316997
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Financement des partis;1;;0;58342272;58342272
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Organisation des élections;2;;0;236376000;235980000
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Commission nationale des comptes de campagne et des financements politiques;3;;0;5589749;6744700
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Cultes;4;;0;1936037;1936037
Budget général;1;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Vie associative;5;;0;75000;75000
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Coordination de la sécurité des personnes et des biens;1;;0;162381999;162381999
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;2;;0;640040057;640040057
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Contrôle de légalité et conseil aux collectivités territoriales;3;;0;149171822;149171822
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Pilotage territorial des politiques gouvernementales;4;;0;541082453;541082453
Budget général;1;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Animation et soutien du réseau;5;;0;225831027;225038027
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Forêt;149;Gestion des forêts publiques et protection de la forêt;11;;0;218248048;222251706
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Forêt;149;Développement économique de la filière et gestion durable;12;;0;50404332;52609287
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Forêt;149;Fonds stratégique de la forêt et du bois;13;;0;10667234;21823190
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Adaptation des filières à l'évolution des marchés;11;;0;167195334;169442578
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Gestion des crises et des aléas de la production;12;;0;27718666;27718666
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Appui au renouvellement et à la modernisation des exploitations agricoles;13;;0;149500000;177042300
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Gestion équilibrée et durable des territoires;14;;0;997213024;763248024
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Économie et développement durable de l'agriculture et des territoires;154;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;15;;0;282251967;282251967
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Prévention et gestion des risques inhérents à la production végétale;1;;0;22567515;22567515
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Lutte contre les maladies animales et protection des animaux;2;;0;94759615;94759615
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;3;;0;15423339;15423339
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Actions transversales;4;;0;74624370;74003370
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Elimination des cadavres et des sous-produits animaux;5;;0;2900000;4200000
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;6;;0;286431222;286431222
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Qualité de l'alimentation et offre alimentaire;8;;0;3865430;3865430
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Moyens de l'administration centrale;1;;0;204159049;209785385
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Évaluation de l'impact des politiques publiques et information économique;2;;0;18540433;18540433
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);3;;0;421896287;421896287
Budget général;1;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Moyens communs;4;;0;71767360;73947438
Budget général;1;Aide publique au développement;AD;Aide économique et financière au développement;110;Aide économique et financière multilatérale;1;;0;286704541;635398901
Budget général;1;Aide publique au développement;AD;Aide économique et financière au développement;110;Aide économique et financière bilatérale;2;;0;432760000;316254171
Budget général;1;Aide publique au développement;AD;Aide économique et financière au développement;110;Traitement de la dette des pays pauvres;3;;0;0;107346928
Budget général;1;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Coopération bilatérale;2;;0;584259663;557084323
Budget général;1;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Coopération multilatérale;5;;0;288421560;293923447
Budget général;1;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Coopération communautaire;7;;0;703800000;703800000
Budget général;1;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Dépenses de personnels concourant au programme "Solidarité à l'égard des pays en développement";8;;0;201792732;201792732
Budget général;1;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Actions de co-développement;9;;0;0;0
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;158;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;1;;0;45746919;46051419
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;158;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;2;;0;54504130;54504130
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Liens entre la Nation et son armée;167;Journée défense et citoyenneté;1;;0;29776000;19050000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Liens entre la Nation et son armée;167;Politique de mémoire;2;;0;22700000;22700000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Administration de  la dette viagère;1;;0;2080250000;2080250000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Administration de  la dette viagère;1;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;10;1295550000;1295550000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Administration de  la dette viagère;1;Retraite du combattant;11;784700000;784700000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;Retraite du combattant;0;146374830;146374830
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;Soins médicaux gratuits et appareillage des mutilés;21;48300000;48300000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;Remboursement des réductions de transport accordées aux invalides;22;3474830;3474830
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;Remboursement des prestations de sécurité sociale aux invalides;23;94600000;94600000
Budget général;1;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;Remboursement des prestations de sécurité sociale aux invalides;0;351862725;351862725
