Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Programme;Programme;Code Action;Action;T1 EXEC CP 2017;T2 EXEC CP 2017;T3 EXEC CP 2017;T4 EXEC CP 2017;T5 EXEC CP 2017;T6 EXEC CP 2017;T7 EXEC CP 2017
2017;Comptes d'affectation spéciale;MIN09;Intérieur;751;Structures et dispositifs de sécurité routière;01;Dispositifs de contrôle;;;89 816 479;;14 145 515;;
2017;Comptes d'affectation spéciale;MIN09;Intérieur;751;Structures et dispositifs de sécurité routière;02;Centre national de traitement;;;70 000 000;;;;12 000 000
2017;Comptes d'affectation spéciale;MIN09;Intérieur;751;Structures et dispositifs de sécurité routière;03;Soutien au programme;;;14 198 812;;;618 235;
2017;Comptes d'affectation spéciale;MIN09;Intérieur;751;Structures et dispositifs de sécurité routière;04;Fichier national du permis de conduire;;;22 942 454;;3 540 614;500 000;
2017;Comptes d'affectation spéciale;MIN09;Intérieur;753;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;01;Déploiement du procès-verbal électronique;;;26 200 000;;;;
2017;Comptes d'affectation spéciale;MIN09;Intérieur;754;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;01;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;;;;;;669 552 455;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;764;Soutien à la transition énergétique;01;Soutien aux énergies renouvelables électriques;;;60 000;;;4 992 696 318;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;764;Soutien à la transition énergétique;03;Soutien à l'injection de bio-méthane;;;;;;52 337 058;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;765;Engagements financiers liés à la transition énergétique;01;Désendettement vis-à-vis des opérateurs supportant des charges de service public de l'électricité;;;;;;1 228 513 919;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;765;Engagements financiers liés à la transition énergétique;03;Remboursement d'anciens plafonnements de CSPE;;;;;;114 980 963;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;785;Exploitation des services nationaux de transport conventionnés;01;Contribution à l’exploitation des services nationaux de transport conventionnés;;;;;;300 000 000;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;785;Exploitation des services nationaux de transport conventionnés;02;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;;;638 278;;;;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;786;Matériel roulant des services nationaux de transport conventionnés;01;Contribution au matériel roulant des services nationaux de transport conventionnés;;;;;;100 000 000;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;791;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;01;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;;;1 246 863;;;257 626 435;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;792;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;01;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;;;;;;35 999 772;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;03;Renforcement des réseaux;;;;;;157 018 461;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;04;Extension des réseaux;;;;;;45 046 022;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;05;Enfouissement et pose en façade;;;;;;47 791 097;
