GESTION;2018;;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Pensions;742;03;Autres dépenses spécifiques;;;2 455 000;690 000;2 455 000;690 000
Pensions;742;04;Gestion du régime;;;7 681 000;7 567 000;7 681 000;7 567 000
Pensions;742;05;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);;;57 315 000;67 611 000;57 315 000;67 611 000
Pensions;743;01;Reconnaissance de la Nation;;;749 263 500;744 700 000;749 263 500;744 700 000
Pensions;743;02;Réparation;;;1 147 350 000;1 074 200 000;1 147 350 000;1 074 200 000
Pensions;743;03;Pensions d'Alsace-Lorraine;;;16 000 000;16 000 000;16 000 000;16 000 000
Pensions;743;04;Allocations de reconnaissance des anciens supplétifs;;;15 070 000;15 370 000;15 070 000;15 370 000
Pensions;743;05;Pensions des anciens agents du chemin de fer franco-éthiopien;;;53 281;50 000;53 281;50 000
Pensions;743;06;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;12 870 000;12 170 000;12 870 000;12 170 000
Pensions;743;07;Pensions de l'ORTF;;;250 000;170 000;250 000;170 000
Services nationaux de transport conventionnés de voyageurs;785;01;Contribution à lexploitation des services nationaux de transport conventionnés;;;257 000 000;300 400 000;257 000 000;300 400 000
Services nationaux de transport conventionnés de voyageurs;785;02;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;;;1 000 000;1 500 000;1 000 000;1 500 000
Services nationaux de transport conventionnés de voyageurs;786;01;Contribution au matériel roulant des services nationaux de transport conventionnés;;;100 000 000;81 300 000;100 000 000;81 300 000
Services nationaux de transport conventionnés de voyageurs;786;02;Frais d'enquêtes, d'études et de conseil relatifs au matériel roulant des services nationaux de transport conventionnés;;;0;;0;
Transition énergétique;764;01;Soutien aux énergies renouvelables électriques;;;5 630 300 000;5 424 947 056;5 630 300 000;5 424 947 056
Transition énergétique;764;02;Soutien à l'effacement de consommation électrique;;;0;17 900 000;0;17 900 000
Transition énergétique;764;03;Soutien à l'injection de bio-méthane;;;49 900 000;99 470 167;49 900 000;99 470 167
Transition énergétique;764;04;Fonds d'interconnexion;;;;0;;0
Transition énergétique;765;01;Désendettement vis-à-vis des opérateurs supportant des charges de service public de l'électricité;;;1 228 000 000;1 622 000 000;1 228 000 000;1 622 000 000
Transition énergétique;765;02;Remboursement et dégrèvements de CSPE;;;0;0;0;0
Transition énergétique;765;03;Remboursement d'anciens plafonnements de CSPE;;;75 000 000;20 000 000;75 000 000;20 000 000
;;;;;;;;;
