GESTION;2018;;;;;;;;
TYPE BUDGET;Comptes de concours financiers;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Accords monétaires internationaux;811;01;Relations avec l'Union monétaire ouest-africaine;;;0;0;0;0
Accords monétaires internationaux;812;01;Relations avec l'Union monétaire d'Afrique centrale;;;0;0;0;0
Accords monétaires internationaux;813;01;Relations avec l'Union des Comores;;;0;0;0;0
Avances à divers services de l'État ou organismes gérant des services publics;821;01;Avances au titre du préfinancement des aides communautaires de la politique agricole commune;;;16 000 000 000;16 000 000 000;16 000 000 000;16 000 000 000
Avances à divers services de l'État ou organismes gérant des services publics;823;01;Avances à des organismes distincts de l'État et gérant des services publics;;;346 600 000;476 300 000;346 600 000;476 300 000
Avances à divers services de l'État ou organismes gérant des services publics;824;01;Avances au budget annexe « Contrôle et exploitation aériens »;;;102 602 000;87 240 638;102 602 000;87 240 638
Avances à divers services de l'État ou organismes gérant des services publics;825;01;Avances à l'ONIAM au titre de l'indemnisation des victimes du Benfluorex;;;15 000 000;15 000 000;15 000 000;15 000 000
Avances à l'audiovisuel public;841;01;France Télévisions;;;2 597 748 917;2 567 907 594;2 597 748 917;2 567 907 594
Avances à l'audiovisuel public;842;01;ARTE France;;;280 011 969;285 372 563;280 011 969;285 372 563
Avances à l'audiovisuel public;843;01;Radio France;;;625 112 736;608 791 670;625 112 736;608 791 670
Avances à l'audiovisuel public;844;01;France Médias Monde;;;256 811 872;263 162 750;256 811 872;263 162 750
Avances à l'audiovisuel public;845;01;Institut national de l'audiovisuel;;;90 869 000;90 411 142;90 869 000;90 411 142
Avances à l'audiovisuel public;847;01;TV5 Monde;;;80 008 935;78 974 350;80 008 935;78 974 350
Avances aux collectivités territoriales;832;01;Avances de l'article 70 de la loi du 31 mars 1932 et de l'article L. 2336-1 du code général des collectivités territoriales;;;6 000 000;6 000 000;6 000 000;6 000 000
Avances aux collectivités territoriales;832;02;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2237-2 du code général des collectivités territoriales;;;;;;
Avances aux collectivités territoriales;832;03;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires);;;;;;
Avances aux collectivités territoriales;832;04;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel;;;;;;
Avances aux collectivités territoriales;833;01;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;;97 902 806 692;99 232 819 164;97 902 806 692;99 232 819 164
Avances aux collectivités territoriales;833;02;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers;;;5 877 914 822;5 902 690 811;5 877 914 822;5 902 690 811
Avances aux collectivités territoriales;833;03;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;;;951 202 755;959 261 559;951 202 755;959 261 559
Avances aux collectivités territoriales;833;04;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur les;;;957 283 641;963 657 402;957 283 641;963 657 402
Prêts à des États étrangers;851;01;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;;300 000 000;900 000 000;300 000 000;453 100 000
Prêts à des États étrangers;852;01;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;;;148 000 000;268 450 000;148 000 000;268 450 000
Prêts à des États étrangers;853;01;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;;1 552 000 000;545 000 000;250 000 000;1 033 000 000
Prêts à des États étrangers;854;01;Soutien financier aux États membres de lUnion européenne dont la monnaie est leuro;;;0;0;0;0
Prêts et avances à des particuliers ou à des organismes privés;861;04;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;;;450 000;250 000;450 000;250 000
Prêts et avances à des particuliers ou à des organismes privés;862;01;Prêts pour le développement économique et social;;;100 000 000;100 000 000;100 000 000;100 000 000
Prêts et avances à des particuliers ou à des organismes privés;863;03;Fonds de soutien à la filière automobile;;;5 000 000;;5 000 000;
;;;;;;;;;
