Gestion;2014;;;;;
Type budget;CAS et CCF;;;;;
;;;;;Données;
Mission;Programme;Action;Sous-action;Libellé SSA;AEPLF;CPPLF
Participations financières de l'État;732;1;;;1 500 000 000;1 500 000 000
Pensions;741;1;;;42 051 100 000;42 051 100 000
Pensions;741;2;;;10 107 400 000;10 107 400 000
Pensions;741;3;;;144 000 000;144 000 000
Pensions;742;1;;;1 836 500 000;1 836 500 000
Pensions;742;3;;;1 600 000;1 600 000
Pensions;742;4;;;8 200 000;8 200 000
Pensions;742;5;;;58 900 000;58 900 000
Pensions;743;1;;;808 703 500;808 703 500
Pensions;743;2;;;1 426 030 000;1 426 030 000
Pensions;743;3;;;15 900 000;15 900 000
Pensions;743;4;;;16 200 000;16 200 000
Pensions;743;5;;;59 782;59 782
Pensions;743;6;;;13 174 753;13 174 753
Pensions;743;7;;;460 000;460 000
Prêts à des États étrangers;851;1;;;360 000 000;420 000 000
Prêts à des États étrangers;852;1;;;703 694 000;703 694 000
Prêts à des États étrangers;853;1;;;447 000 000;370 000 000
Prêts à des États étrangers;854;1;;;0;0
Prêts et avances à des particuliers ou à des organismes privés;861;4;;;500 000;500 000
Prêts et avances à des particuliers ou à des organismes privés;862;1;;;10 000 000;10 000 000
Prêts et avances à des particuliers ou à des organismes privés;863;2;;;0;0
Prêts et avances à des particuliers ou à des organismes privés;863;3;;;0;0
Prêts et avances à des particuliers ou à des organismes privés;866;1;;;340 000 000;340 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;2;;;270 000 000;270 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;3;;;300 000 000;300 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;4;;;50 000 000;50 000 000
Prêts et avances à des particuliers ou à des organismes privés;866;5;;;40 000 000;40 000 000
Services nationaux de transport conventionnés de voyageurs;785;1;;;190 800 000;190 800 000
Services nationaux de transport conventionnés de voyageurs;785;2;;;200 000;200 000
Services nationaux de transport conventionnés de voyageurs;786;1;;;117 700 000;117 700 000
Services nationaux de transport conventionnés de voyageurs;786;2;;;300 000;300 000
