Gestion;2015;;;;;;;;
Type Budget;Comptes spéciaux et Comptes de concours financiers;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Financement des aides aux collectivités pour l'électrification rurale;794;5;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);0;;0;0;0;0
Financement des aides aux collectivités pour l'électrification rurale;794;6;Intempéries - (Engagements antérieurs au 1er janvier 2013);0;;0;0;0;0
Financement national du développement et de la modernisation de l'apprentissage;787;3;Répartition régionale de la ressource consacrée au développement de l'apprentissage;0;;0;1 397 823 400;0;1 397 823 400
Financement national du développement et de la modernisation de l'apprentissage;790;1;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;0;;0;92 906 600;0;92 906 600
Gestion du patrimoine immobilier de l'État;721;1;Contribution au désendettement de l'État;0;;80 000 000;108 000 000;80 000 000;108 000 000
Gestion du patrimoine immobilier de l'État;723;1;Dépenses immobilières;0;;485 000 000;418 817 226;470 000 000;413 000 000
Gestion et valorisation des ressources tirées de l'utilisation du spectre hertzien, des systèmes et des infrastructures de télécommunications de l'État;761;1;Désendettement de l'État;0;;0;0;0;0
Gestion et valorisation des ressources tirées de l'utilisation du spectre hertzien, des systèmes et des infrastructures de télécommunications de l'État;762;1;Amélioration de l'usage du spectre hertzien;0;;11 000 000;1 346 084 943;11 000 000;1 346 084 943
Gestion et valorisation des ressources tirées de l'utilisation du spectre hertzien, des systèmes et des infrastructures de télécommunications de l'État;762;2;Interception et traitement des émissions électromagnétiques;0;;0;720 915 057;0;720 915 057
Gestion et valorisation des ressources tirées de l'utilisation du spectre hertzien, des systèmes et des infrastructures de télécommunications de l'État;763;1;Modernisation des systèmes d'information et de communication de la police nationale;0;;0;0;0;0
Gestion et valorisation des ressources tirées de l'utilisation du spectre hertzien, des systèmes et des infrastructures de télécommunications de l'État;763;2;Modernisation des systèmes d'information et de communication de la gendarmerie nationale;0;;0;0;0;0
Gestion et valorisation des ressources tirées de l'utilisation du spectre hertzien, des systèmes et des infrastructures de télécommunications de l'État;763;3;Modernisation des systèmes d'information et de communication de l'administration centrale et territoriale;0;;0;0;0;0
Participation de la France au désendettement de la Grèce;795;1;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus en compte propre;0;;0;0;101 800 000;123 500 000
Participation de la France au désendettement de la Grèce;795;2;Versement de la France à la Grèce au titre de la restitution à cet État des revenus perçus par la Banque de France sur les titres grecs détenus au titre du portefeuille dit SMP;0;;399 000 000;309 000 000;399 000 000;309 000 000
Participation de la France au désendettement de la Grèce;796;1;Rétrocessions de trop-perçus à la Banque de France;0;;0;0;0;0
Participations financières de l'État;731;1;Augmentations de capital, dotations en fonds propres, avances d'actionnaire et prêts assimilés;0;;4 762 000 000;502 800 000;4 762 000 000;502 800 000
Participations financières de l'État;731;3;Achats ou souscriptions de titres, parts ou droits de société;0;;378 000 000;387 200 000;378 000 000;387 200 000
Participations financières de l'État;731;4;Autres investissements financiers de nature patrimoniale;0;;10 000 000;10 000 000;10 000 000;10 000 000
Participations financières de l'État;731;5;Prestations de services : commissions bancaires, frais juridiques et frais liés aux opérations de gestion des participations financières de l'État;0;;100 000 000;100 000 000;100 000 000;100 000 000
Participations financières de l'État;731;6;Versements au profit du Mécanisme européen de stabilité;0;;3 261 744 000;0;3 261 744 000;0
Participations financières de l'État;732;1;Désendettement de l'État ou d'établissements publics de l'État;0;;1 500 000 000;4 000 000 000;1 500 000 000;4 000 000 000
Pensions;741;1;Fonctionnaires civils relevant du code des pensions civiles et militaires de retraite;0;;42 051 100 000;42 582 800 000;42 051 100 000;42 582 800 000
Pensions;741;2;Militaires relevant du code des pensions civiles et militaires de retraite;0;;10 119 400 000;10 062 500 000;10 119 400 000;10 062 500 000
Pensions;741;3;Allocations temporaires d'invalidité;0;;144 000 000;144 100 000;144 000 000;144 100 000
Pensions;742;1;Prestations vieillesse et invalidité;0;;1 836 500 000;1 860 200 000;1 836 500 000;1 860 200 000
Pensions;742;3;Autres dépenses spécifiques;0;;1 600 000;1 410 000;1 600 000;1 410 000
Pensions;742;4;Gestion du régime;0;;8 200 000;8 100 000;8 200 000;8 100 000
Pensions;742;5;Rentes accidents du travail des ouvriers civils des établissements militaires (RATOCEM);0;;58 900 000;55 320 000;58 900 000;55 320 000
Pensions;743;1;Reconnaissance de la Nation;0;;808 703 500;785 464 000;808 703 500;785 464 000
Pensions;743;2;Réparation;0;;1 426 030 000;1 295 550 000;1 426 030 000;1 295 550 000
Pensions;743;3;Pensions d'Alsace-Lorraine;0;;15 900 000;16 000 000;15 900 000;16 000 000
Pensions;743;4;Allocations de reconnaissance des anciens supplétifs;0;;16 200 000;17 200 000;16 200 000;17 200 000
Pensions;743;5;Pensions des anciens agents du chemin de fer franco-éthiopien;0;;59 782;63 000;59 782;63 000
Pensions;743;6;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;0;;13 174 753;12 986 000;13 174 753;12 986 000
Pensions;743;7;Pensions de l'ORTF;0;;460 000;320 000;460 000;320 000
Prêts à des États étrangers;851;1;Prêts à des États étrangers, de la Réserve pays émergents, en vue de faciliter la réalisation de projets d'infrastructure;0;;360 000 000;330 000 000;420 000 000;440 000 000
Prêts à des États étrangers;852;1;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;0;;703 694 000;652 100 000;703 694 000;652 100 000
Prêts à des États étrangers;853;1;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;0;;447 000 000;760 000 000;370 000 000;390 000 000
Prêts à des États étrangers;854;1;Soutien financier aux États membres de l'Union européenne dont la monnaie est l'euro;0;;0;0;0;0
Prêts et avances à des particuliers ou à des organismes privés;861;4;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;0;;500 000;500 000;500 000;500 000
Prêts et avances à des particuliers ou à des organismes privés;862;1;Prêts pour le développement économique et social;0;;310 000 000;200 000 000;310 000 000;200 000 000
Prêts et avances à des particuliers ou à des organismes privés;863;2;Prêts pour le soutien à l'innovation de la filière automobile;0;;0;0;0;0
Prêts et avances à des particuliers ou à des organismes privés;863;3;Fonds de soutien à la filière automobile;0;;0;0;0;0
Services nationaux de transport conventionnés de voyageurs;785;1;Contribution à l'exploitation des services nationaux de transport conventionnés;0;;190 800 000;190 800 000;190 800 000;190 800 000
Services nationaux de transport conventionnés de voyageurs;785;2;Frais d'enquêtes, d'études et de conseil relatifs à l'exploitation des services nationaux de transport conventionnés;0;;200 000;200 000;200 000;200 000
Services nationaux de transport conventionnés de voyageurs;786;1;Contribution au matériel roulant des services nationaux de transport conventionnés;0;;117 700 000;117 700 000;117 700 000;117 700 000
Services nationaux de transport conventionnés de voyageurs;786;2;Frais d'enquêtes, d'études et de conseil relatifs au matériel roulant des services nationaux de transport conventionnés;0;;300 000;300 000;300 000;300 000
